Timestamp,Log Level,Log Source,Log Type,Log Severity,Log Message,Source IP,Destination IP,User,Error Code,Session ID,Label,Log Source Type,Log Action,Log Component,User Role,Log Duration,Log Process,Log Event,Error Type,Session Duration,User Activity
2024-09-17 19:34:16,WARNING,Server-7,Error,High,Connection failed Blocked IP,244.246.36.216,208.47.12.197,user-82,ERR-B77,SESSION-787,,Database,Error,Connection Authentication,User,0:00:04,Connection Establishment,,IP Spoofing,0:04:57,Blocking Suspicious Traffic
2024-11-13 06:08:03,INFO,Server-9,Error,Medium,User login Blocked IP,126.20.177.205,229.126.30.189,user-8,ERR-GCP,SESSION-699,,Firewall,Error,Packet Filter Connection,Admin,0:00:04,Connection Establishment,,Database Error,0:02:43,Login
2024-02-16 08:17:32,DEBUG,Server-7,Error,Medium,Connection failed User login,24.186.132.94,100.198.205.193,user-81,ERR-QLK,SESSION-030,,Database,Error,Packet Filter Authentication,Admin,0:00:10,Login,,Database Error,0:01:51,Login
2024-04-23 13:40:04,WARNING,Server-3,Error,High,User login Blocked IP,224.64.100.82,119.210.95.8,user-21,ERR-QS0,SESSION-347,,Firewall,Access,Connection Connection,User,0:00:02,Filtering,,Connection Timeout,0:03:45,Database Connection Establishment
2024-08-21 00:10:55,WARNING,Server-4,Access,High,Connection failed Connection failed,247.134.119.163,238.158.161.80,user-66,ERR-IFE,SESSION-901,,Firewall,Block,Authentication Connection,Admin,0:00:01,Connection Establishment,,Connection Timeout,0:00:57,Login
2024-06-26 17:12:39,INFO,Server-5,Security,Medium,User login User login,19.189.77.187,145.176.42.30,user-14,ERR-WWQ,SESSION-049,,Server,Error,Authentication Connection,Admin,0:00:06,Filtering,,IP Spoofing,0:02:26,Database Connection Establishment
2024-03-09 05:49:48,WARNING,Server-8,Security,Low,Blocked IP User login,231.249.112.25,106.70.186.144,user-42,ERR-P0Y,SESSION-055,,Firewall,Access,Connection Packet Filter,User,0:00:09,Login,,Connection Timeout,0:00:45,Database Connection Establishment
2024-01-24 17:03:22,WARNING,Server-8,Access,Medium,Connection failed Connection failed,157.167.44.212,59.139.102.194,user-5,ERR-HE2,SESSION-198,,Database,Access,Authentication Connection,Admin,0:00:10,Connection Establishment,,IP Spoofing,0:02:57,Login
2024-11-12 19:36:26,INFO,Server-6,Error,Low,Connection failed Blocked IP,70.244.88.181,105.252.185.54,user-85,ERR-FCL,SESSION-017,,Firewall,Block,Connection Authentication,Admin,0:00:07,Filtering,,Connection Timeout,0:02:40,Blocking Suspicious Traffic
2024-10-01 20:49:03,DEBUG,Server-1,Error,Low,Blocked IP Connection failed,70.141.239.109,210.138.249.32,user-71,ERR-M11,SESSION-132,,Server,Access,Connection Connection,Admin,0:00:10,Filtering,,Connection Timeout,0:04:35,Blocking Suspicious Traffic
2024-07-31 02:37:23,INFO,Server-4,Error,High,Blocked IP Connection failed,77.112.17.111,241.232.81.199,user-28,ERR-XZN,SESSION-155,,Database,Error,Packet Filter Connection,Admin,0:00:09,Login,,IP Spoofing,0:04:09,Login
2024-05-13 12:31:48,WARNING,Server-4,Security,Medium,User login Connection failed,37.208.49.64,181.198.204.227,user-7,ERR-8Z6,SESSION-077,,Server,Error,Connection Packet Filter,User,0:00:08,Connection Establishment,,Database Error,0:03:00,Blocking Suspicious Traffic
2024-03-26 11:10:49,WARNING,Server-10,Access,Low,Connection failed User login,232.132.90.204,190.28.108.134,user-6,ERR-NXT,SESSION-292,,Firewall,Block,Connection Packet Filter,User,0:00:09,Connection Establishment,,IP Spoofing,0:02:22,Login
2024-09-11 08:17:28,ERROR,Server-8,Security,Medium,User login Connection failed,246.169.2.181,16.193.46.68,user-22,ERR-EJO,SESSION-827,,Firewall,Error,Authentication Connection,User,0:00:09,Login,,Database Error,0:01:08,Blocking Suspicious Traffic
2024-05-29 21:15:08,INFO,Server-5,Error,High,User login Connection failed,165.166.101.81,76.54.89.89,user-44,ERR-R1M,SESSION-462,,Server,Access,Packet Filter Connection,Admin,0:00:06,Filtering,,IP Spoofing,0:02:54,Database Connection Establishment
2024-04-26 01:43:44,ERROR,Server-8,Error,Medium,User login Connection failed,39.162.189.159,3.14.91.200,user-66,ERR-AAK,SESSION-314,,Firewall,Access,Connection Authentication,User,0:00:03,Login,,Database Error,0:03:25,Login
2024-09-13 05:17:35,INFO,Server-10,Access,High,Blocked IP Blocked IP,147.50.188.249,129.153.203.77,user-77,ERR-HLE,SESSION-888,,Database,Access,Packet Filter Packet Filter,User,0:00:06,Login,,IP Spoofing,0:04:30,Blocking Suspicious Traffic
2024-02-27 10:48:14,DEBUG,Server-5,Security,High,Blocked IP Connection failed,190.145.97.106,231.72.149.228,user-21,ERR-OJA,SESSION-515,,Firewall,Error,Packet Filter Connection,User,0:00:08,Connection Establishment,,IP Spoofing,0:04:29,Database Connection Establishment
2024-11-01 21:56:32,INFO,Server-10,Access,High,Blocked IP User login,13.194.35.50,24.50.65.62,user-31,ERR-8F7,SESSION-053,,Database,Block,Connection Packet Filter,Admin,0:00:01,Connection Establishment,,IP Spoofing,0:00:44,Blocking Suspicious Traffic
2024-11-09 03:24:06,INFO,Server-3,Error,Medium,Connection failed Blocked IP,100.106.85.60,45.197.123.34,user-65,ERR-BEE,SESSION-676,,Database,Error,Packet Filter Connection,User,0:00:04,Login,,Database Error,0:03:11,Login
2024-03-11 09:38:25,WARNING,Server-10,Security,High,Blocked IP Blocked IP,96.10.195.37,12.171.199.166,user-23,ERR-VVX,SESSION-834,,Firewall,Block,Authentication Authentication,User,0:00:06,Filtering,,IP Spoofing,0:04:50,Login
2024-09-17 07:25:19,INFO,Server-4,Security,High,Connection failed Connection failed,78.80.171.198,215.98.223.161,user-32,ERR-KHV,SESSION-280,,Database,Error,Packet Filter Packet Filter,User,0:00:04,Filtering,,Database Error,0:00:46,Database Connection Establishment
2024-11-23 21:23:16,ERROR,Server-1,Security,High,User login Blocked IP,129.168.218.171,255.100.206.79,user-85,ERR-M9Q,SESSION-765,,Firewall,Error,Connection Connection,User,0:00:05,Connection Establishment,,Connection Timeout,0:01:47,Login
2024-05-10 16:02:25,ERROR,Server-2,Error,Medium,User login Blocked IP,50.179.227.85,214.198.82.116,user-39,ERR-RBK,SESSION-989,,Database,Access,Connection Packet Filter,User,0:00:09,Connection Establishment,,Connection Timeout,0:03:12,Database Connection Establishment
2024-08-14 16:04:14,DEBUG,Server-4,Error,Low,Blocked IP User login,146.26.179.242,69.206.42.137,user-29,ERR-4E3,SESSION-821,,Database,Error,Packet Filter Authentication,User,0:00:06,Filtering,,Database Error,0:04:28,Login
2024-03-31 01:56:40,ERROR,Server-10,Security,High,User login Connection failed,165.240.202.250,177.42.124.159,user-10,ERR-2Y6,SESSION-822,,Database,Access,Packet Filter Authentication,User,0:00:09,Connection Establishment,,Connection Timeout,0:02:37,Blocking Suspicious Traffic
2024-07-12 21:23:03,INFO,Server-10,Error,High,Connection failed Blocked IP,153.91.56.155,4.200.59.139,user-16,ERR-T8J,SESSION-168,,Server,Block,Connection Authentication,User,0:00:10,Login,,Connection Timeout,0:00:36,Login
2024-09-09 23:12:03,INFO,Server-8,Security,Medium,User login User login,136.48.136.42,118.178.234.82,user-63,ERR-WS8,SESSION-956,,Firewall,Error,Authentication Packet Filter,Admin,0:00:04,Login,,Connection Timeout,0:01:25,Database Connection Establishment
2024-02-20 00:28:54,ERROR,Server-9,Access,Low,User login User login,90.153.232.178,185.140.64.45,user-40,ERR-OCU,SESSION-147,,Firewall,Block,Packet Filter Connection,Admin,0:00:01,Connection Establishment,,Connection Timeout,0:03:30,Login
2024-06-06 04:13:17,WARNING,Server-10,Error,High,Blocked IP User login,95.171.162.128,252.44.100.59,user-75,ERR-8UE,SESSION-139,,Database,Access,Packet Filter Packet Filter,Admin,0:00:08,Connection Establishment,,Connection Timeout,0:04:53,Blocking Suspicious Traffic
2024-09-29 15:46:02,WARNING,Server-9,Access,High,Blocked IP User login,87.40.204.32,147.119.150.198,user-24,ERR-WE5,SESSION-606,,Database,Access,Connection Authentication,Admin,0:00:04,Connection Establishment,,IP Spoofing,0:00:57,Database Connection Establishment
2024-01-24 15:05:54,ERROR,Server-8,Access,High,User login User login,228.185.102.83,111.62.6.45,user-24,ERR-G4X,SESSION-854,,Database,Access,Packet Filter Packet Filter,User,0:00:03,Filtering,,Connection Timeout,0:02:06,Login
2024-06-22 07:35:59,ERROR,Server-2,Access,Low,User login User login,195.225.19.129,2.253.124.150,user-63,ERR-ZBY,SESSION-790,,Server,Access,Authentication Packet Filter,Admin,0:00:03,Connection Establishment,,Connection Timeout,0:00:33,Database Connection Establishment
2024-06-21 04:28:47,ERROR,Server-1,Error,Medium,User login Blocked IP,81.185.21.177,49.173.223.143,user-8,ERR-OJR,SESSION-321,,Server,Access,Packet Filter Connection,User,0:00:07,Filtering,,IP Spoofing,0:03:39,Database Connection Establishment
2024-02-29 07:53:32,INFO,Server-2,Security,Medium,Connection failed Blocked IP,55.251.15.219,5.166.69.232,user-53,ERR-EPW,SESSION-220,,Server,Block,Authentication Authentication,Admin,0:00:04,Connection Establishment,,Database Error,0:04:50,Login
2024-06-19 07:05:18,INFO,Server-10,Security,Medium,Blocked IP User login,16.0.47.107,142.188.79.175,user-41,ERR-MJ9,SESSION-457,,Server,Error,Connection Packet Filter,User,0:00:04,Login,,IP Spoofing,0:02:10,Blocking Suspicious Traffic
2024-07-30 07:43:34,INFO,Server-2,Error,High,Connection failed Blocked IP,145.187.167.108,148.173.134.94,user-47,ERR-P1M,SESSION-988,,Database,Block,Authentication Authentication,User,0:00:08,Login,,Database Error,0:01:22,Database Connection Establishment
2024-10-31 05:12:18,ERROR,Server-4,Access,High,Connection failed User login,0.139.90.44,28.156.235.101,user-79,ERR-QTN,SESSION-188,,Database,Error,Packet Filter Packet Filter,Admin,0:00:03,Login,,Connection Timeout,0:03:57,Blocking Suspicious Traffic
2024-11-05 02:48:45,DEBUG,Server-4,Security,Medium,User login Connection failed,115.165.86.47,77.164.209.198,user-35,ERR-0XD,SESSION-491,,Database,Error,Authentication Authentication,Admin,0:00:07,Connection Establishment,,Connection Timeout,0:03:06,Database Connection Establishment
2024-09-06 19:19:59,ERROR,Server-6,Security,Medium,Connection failed Connection failed,83.128.229.38,98.229.43.70,user-87,ERR-JD1,SESSION-669,,Server,Error,Authentication Packet Filter,Admin,0:00:03,Filtering,,IP Spoofing,0:01:34,Login
2024-09-09 03:42:44,DEBUG,Server-6,Access,High,User login Connection failed,209.133.154.122,76.109.254.139,user-19,ERR-RII,SESSION-852,,Server,Access,Connection Connection,Admin,0:00:06,Filtering,,IP Spoofing,0:03:26,Database Connection Establishment
2024-09-17 15:02:47,WARNING,Server-2,Access,Low,Connection failed User login,184.168.99.36,26.68.58.39,user-79,ERR-RU8,SESSION-919,,Database,Access,Authentication Connection,User,0:00:08,Connection Establishment,,Database Error,0:01:35,Blocking Suspicious Traffic
2024-01-22 02:19:20,WARNING,Server-10,Access,Medium,Blocked IP Blocked IP,227.138.49.215,122.136.53.134,user-97,ERR-EJ4,SESSION-150,,Firewall,Block,Packet Filter Packet Filter,Admin,0:00:02,Connection Establishment,,Database Error,0:03:54,Blocking Suspicious Traffic
2024-07-22 12:16:24,WARNING,Server-6,Error,Medium,User login Connection failed,230.177.76.174,254.0.64.131,user-18,ERR-YHG,SESSION-218,,Database,Block,Packet Filter Connection,Admin,0:00:02,Filtering,,Connection Timeout,0:02:33,Database Connection Establishment
2024-10-08 08:41:35,INFO,Server-5,Error,Low,Blocked IP Connection failed,196.70.180.214,242.81.65.85,user-72,ERR-T4G,SESSION-664,,Server,Access,Connection Authentication,User,0:00:03,Login,,Connection Timeout,0:01:46,Database Connection Establishment
2024-09-07 19:21:03,DEBUG,Server-4,Error,Low,Connection failed Connection failed,153.253.25.146,32.12.102.35,user-93,ERR-66A,SESSION-014,,Firewall,Error,Connection Connection,Admin,0:00:09,Filtering,,Connection Timeout,0:03:10,Database Connection Establishment
2024-08-25 14:52:13,ERROR,Server-6,Access,Low,Blocked IP Blocked IP,176.108.59.183,80.228.51.157,user-3,ERR-V8E,SESSION-277,,Firewall,Access,Authentication Packet Filter,Admin,0:00:09,Connection Establishment,,Connection Timeout,0:02:20,Login
2024-08-20 18:20:23,DEBUG,Server-5,Access,High,Blocked IP User login,97.204.247.54,84.240.196.46,user-19,ERR-2P7,SESSION-277,,Firewall,Access,Packet Filter Connection,Admin,0:00:08,Filtering,,IP Spoofing,0:00:37,Database Connection Establishment
2024-04-21 21:11:05,WARNING,Server-9,Access,High,Blocked IP User login,88.96.247.185,171.11.26.103,user-86,ERR-IW9,SESSION-365,,Database,Block,Connection Connection,User,0:00:06,Login,,IP Spoofing,0:01:20,Login
2024-08-21 19:30:51,WARNING,Server-4,Security,High,Connection failed Blocked IP,86.7.217.94,131.84.236.10,user-96,ERR-2UG,SESSION-948,,Firewall,Error,Packet Filter Packet Filter,Admin,0:00:07,Filtering,,Database Error,0:01:34,Login
2024-09-04 03:55:08,DEBUG,Server-3,Access,Low,Connection failed User login,94.212.15.190,198.122.86.183,user-96,ERR-1W4,SESSION-558,,Firewall,Access,Authentication Authentication,User,0:00:03,Filtering,,Database Error,0:00:18,Blocking Suspicious Traffic
2024-03-15 18:24:26,INFO,Server-7,Error,Low,User login User login,245.111.17.156,73.160.38.148,user-48,ERR-XNH,SESSION-015,,Database,Block,Connection Connection,User,0:00:04,Filtering,,IP Spoofing,0:01:50,Blocking Suspicious Traffic
2024-09-30 13:55:21,WARNING,Server-10,Access,Low,Connection failed User login,129.122.16.112,211.59.78.8,user-100,ERR-ZXP,SESSION-495,,Database,Access,Connection Connection,Admin,0:00:07,Connection Establishment,,Connection Timeout,0:03:28,Database Connection Establishment
2024-05-11 13:41:40,DEBUG,Server-1,Error,Low,Blocked IP User login,117.103.81.98,26.29.167.182,user-4,ERR-9YE,SESSION-431,,Server,Error,Connection Connection,User,0:00:06,Login,,Database Error,0:01:04,Login
2024-07-31 04:31:17,DEBUG,Server-4,Access,Low,Blocked IP User login,178.51.92.239,154.93.63.157,user-4,ERR-AOP,SESSION-682,,Database,Access,Packet Filter Authentication,Admin,0:00:06,Connection Establishment,,Connection Timeout,0:01:51,Blocking Suspicious Traffic
2024-01-27 21:48:53,WARNING,Server-10,Access,Medium,Connection failed Blocked IP,172.145.6.0,84.245.10.131,user-24,ERR-0CQ,SESSION-839,,Server,Block,Authentication Packet Filter,User,0:00:03,Login,,Connection Timeout,0:01:42,Blocking Suspicious Traffic
2024-08-31 03:55:34,ERROR,Server-7,Access,High,Connection failed Blocked IP,161.192.87.32,198.141.16.6,user-53,ERR-DMI,SESSION-859,,Server,Error,Connection Packet Filter,User,0:00:09,Connection Establishment,,IP Spoofing,0:00:19,Blocking Suspicious Traffic
2024-08-11 12:11:24,ERROR,Server-1,Error,High,User login Blocked IP,241.137.101.95,178.6.144.130,user-77,ERR-HLI,SESSION-804,,Firewall,Access,Authentication Connection,User,0:00:06,Connection Establishment,,IP Spoofing,0:01:31,Blocking Suspicious Traffic
2024-05-30 22:00:32,WARNING,Server-9,Access,Low,Connection failed Blocked IP,136.245.6.217,216.112.147.222,user-47,ERR-88X,SESSION-048,,Firewall,Block,Authentication Connection,User,0:00:10,Filtering,,IP Spoofing,0:00:58,Database Connection Establishment
2024-05-21 22:47:40,INFO,Server-7,Error,Low,User login User login,182.108.41.219,28.96.79.225,user-18,ERR-XJ1,SESSION-402,,Server,Access,Authentication Authentication,Admin,0:00:03,Login,,Database Error,0:00:22,Blocking Suspicious Traffic
2024-02-19 15:25:38,INFO,Server-4,Error,High,User login Connection failed,76.233.143.244,193.68.105.37,user-35,ERR-YVZ,SESSION-934,,Database,Access,Packet Filter Packet Filter,User,0:00:08,Connection Establishment,,IP Spoofing,0:03:38,Blocking Suspicious Traffic
2024-04-02 03:53:35,ERROR,Server-9,Access,Low,Blocked IP Blocked IP,253.243.29.190,69.179.163.224,user-8,ERR-F3F,SESSION-536,,Firewall,Access,Authentication Packet Filter,User,0:00:02,Login,,Connection Timeout,0:04:47,Login
2024-09-15 20:44:01,ERROR,Server-9,Security,Medium,Connection failed User login,36.167.184.106,31.89.83.239,user-32,ERR-9FP,SESSION-549,,Database,Access,Packet Filter Connection,User,0:00:02,Login,,Database Error,0:03:24,Blocking Suspicious Traffic
2024-04-15 16:23:22,DEBUG,Server-2,Error,Medium,Blocked IP Blocked IP,120.147.196.57,225.238.253.133,user-5,ERR-NKN,SESSION-151,,Database,Error,Packet Filter Packet Filter,Admin,0:00:03,Filtering,,IP Spoofing,0:00:51,Login
2024-11-21 15:57:55,INFO,Server-6,Access,Low,Connection failed Connection failed,67.70.39.112,253.18.151.168,user-74,ERR-O9Y,SESSION-528,,Server,Block,Connection Connection,Admin,0:00:07,Login,,Connection Timeout,0:02:23,Login
2024-05-07 19:48:51,WARNING,Server-10,Error,High,User login User login,216.26.44.25,181.193.82.61,user-58,ERR-3XC,SESSION-130,,Database,Error,Connection Connection,Admin,0:00:05,Connection Establishment,,Connection Timeout,0:00:36,Blocking Suspicious Traffic
2024-09-06 13:24:11,WARNING,Server-7,Error,Medium,User login Blocked IP,210.218.61.62,187.49.66.0,user-31,ERR-W0F,SESSION-255,,Firewall,Error,Packet Filter Connection,User,0:00:10,Connection Establishment,,Database Error,0:04:53,Blocking Suspicious Traffic
2024-11-04 11:40:45,ERROR,Server-6,Access,High,Connection failed User login,167.0.220.140,126.192.61.20,user-23,ERR-B81,SESSION-066,,Firewall,Block,Connection Packet Filter,User,0:00:01,Connection Establishment,,Connection Timeout,0:01:57,Login
2024-07-09 23:52:28,WARNING,Server-3,Access,Low,Connection failed Connection failed,166.169.240.162,245.147.232.153,user-76,ERR-ZVC,SESSION-944,,Database,Error,Packet Filter Authentication,Admin,0:00:09,Filtering,,IP Spoofing,0:00:30,Login
2024-01-03 17:34:11,ERROR,Server-7,Access,Low,Blocked IP Blocked IP,152.162.226.70,159.228.183.221,user-31,ERR-N4A,SESSION-540,,Server,Error,Authentication Packet Filter,Admin,0:00:08,Login,,Connection Timeout,0:01:00,Login
2024-02-16 22:24:21,WARNING,Server-3,Error,Low,User login Connection failed,46.207.72.75,239.115.245.189,user-42,ERR-H89,SESSION-306,,Database,Access,Packet Filter Connection,Admin,0:00:09,Connection Establishment,,IP Spoofing,0:02:26,Database Connection Establishment
2024-11-21 06:06:23,DEBUG,Server-10,Error,High,User login User login,126.151.181.81,50.82.54.237,user-5,ERR-8MX,SESSION-382,,Server,Access,Connection Connection,User,0:00:10,Filtering,,IP Spoofing,0:04:40,Blocking Suspicious Traffic
2024-02-28 05:56:21,INFO,Server-8,Security,High,Connection failed User login,161.94.175.208,43.76.3.92,user-88,ERR-CGA,SESSION-425,,Database,Block,Authentication Connection,Admin,0:00:03,Filtering,,Connection Timeout,0:02:48,Blocking Suspicious Traffic
2024-09-20 03:21:05,INFO,Server-8,Access,Low,User login Blocked IP,185.229.184.62,19.191.91.41,user-89,ERR-8RD,SESSION-750,,Database,Block,Authentication Packet Filter,Admin,0:00:10,Connection Establishment,,Connection Timeout,0:03:24,Blocking Suspicious Traffic
2024-02-01 02:19:57,DEBUG,Server-4,Error,Low,User login Blocked IP,244.248.37.241,51.122.49.63,user-48,ERR-J80,SESSION-342,,Database,Error,Connection Authentication,User,0:00:06,Login,,Database Error,0:02:21,Database Connection Establishment
2024-04-30 22:35:05,DEBUG,Server-1,Access,Low,Connection failed Blocked IP,164.26.165.237,160.223.60.244,user-95,ERR-B80,SESSION-434,,Database,Block,Packet Filter Authentication,User,0:00:03,Connection Establishment,,IP Spoofing,0:02:08,Login
2024-11-10 04:57:30,INFO,Server-9,Error,High,Connection failed Blocked IP,14.158.229.119,8.234.47.64,user-95,ERR-3LY,SESSION-846,,Server,Error,Connection Packet Filter,Admin,0:00:06,Connection Establishment,,Database Error,0:03:42,Database Connection Establishment
2024-09-16 18:25:41,DEBUG,Server-3,Error,Low,Connection failed Blocked IP,70.221.36.146,194.0.30.88,user-93,ERR-MXN,SESSION-383,,Firewall,Access,Packet Filter Connection,User,0:00:03,Login,,IP Spoofing,0:01:39,Login
